sentence_id,product_name,price,rating,review,cleaned_review,aspect_sentiment_anotation,review_type,category
1,Girls Side Bags,Rs. 790,5,ganata marama vatinava..thank u daraz.,ගානට මාරම වටිනවා..තැනක් උ දරළ්.,"{
('ගානට', 'Price', ' මාරම වටිනවා', positive)
}",Sinhala_in_English,fashion
2,Girls Side Bags,Rs. 790,5,good harima lassanai gane hatiyata pauima na.. man gift ekak denna gaththe  eyata eka dunna photo ganna bari una baya nathuwa ganna puluwan..👍👍,ගූඩ් හරිම ලස්සනෛ ගැනේ හැටියට පෞඉම න.. මන් ගිෆ්ට් එකක් දෙන්න ගත්තේ  එයට එක දුන්න ෆොටෝ ගන්න බැරි උන බය නැතුව ගන්න පුළුවන්..👍👍,"{ (NULL, 'Appearance', 'හරිම ලස්සනෛ', positive), ('NULL', 'Ease of Use', 'බය නැතුව ගන්න පුළුවන්', positive), ('NULL', 'Overall Satisfaction', 'ගූඩ්', positive) }",Sinhala_in_English,fashion
3,Girls Side Bags,Rs. 790,5,හොඳයි. හයියට තියෙනවා. වැඩි කාලයක් පාවිච්චි කරන්න පුලුවන්.,හොඳයි. හයියට තියෙනවා. වැඩි කාලයක් පාවිච්චි කරන්න පුලුවන්.,"{
(NULL, 'Material Quality', 'හයියට තියෙනවා', positive),
(NULL, 'Durability', 'වැඩි කාලයක් පාවිච්චි කරන්න පුලුවන්', positive),
(NULL, 'Overall Satisfaction', 'හොඳයි', positive)
}",Pure_Sinhala,fashion
4,Girls Side Bags,Rs. 790,5,බෑග් එක හොදට ඉඩ තියෙනවා බය නැතුව ගන්න.👍👍👍,බෑග් එක හොදට ඉඩ තියෙනවා බය නැතුව ගන්න.👍👍👍,"{
(NULL, 'Ease of Use', 'බය නැතුව ගන්න', positive),
('බෑග් එක', 'Overall Satisfaction', 'හොදට ඉඩ තියෙනවා', positive)
}",Pure_Sinhala,fashion
5,Girls Side Bags,Rs. 790,5,ඉතා හොඳයි ...,ඉතා හොඳයි ...,"{
(NULL, 'Overall Satisfaction', 'ඉතා හොඳයි', positive)
}",Pure_Sinhala,fashion
6,Top Selling Women Messenger Bags Matching-all Leather Feeling PU Shoulder Bags Fashion Gift for Girls & Middle Aged Female,"Rs. 7,768",5,හරිම ලස්සනයි . ඒ වගේම delivery service excellent . thank you❤️ daraz & seller,හරිම ලස්සනයි . ඒ වගේම delivery service excellent . thank you❤️ daraz & seller,"{
(NULL, 'Appearance', 'හරිම ලස්සනයි', positive),
('delivery service', 'Delivery', ' excellent', positive)
}",Code_Mixed,fashion
7,Top Selling Women Messenger Bags Matching-all Leather Feeling PU Shoulder Bags Fashion Gift for Girls & Middle Aged Female,"Rs. 7,768",5,මේකනම් ගොඩක්ම හොඳ හෑන් බෑග් එකක් . ඔයාලත් අරගෙන බලන්න.,මේකනම් ගොඩක්ම හොඳ හෑන් බෑග් එකක් . ඔයාලත් අරගෙන බලන්න.,"{
('හෑන් බෑග් එකක්', 'Overall Satisfaction', 'ගොඩක්ම හොඳ', positive)
}",Pure_Sinhala,fashion
8,Top Selling Women Messenger Bags Matching-all Leather Feeling PU Shoulder Bags Fashion Gift for Girls & Middle Aged Female,"Rs. 7,768",1,කිසිම වැඩක් නෑ original photo එකෙ තියෙන එක නෙමෙයි එවලා තියෙන්නේ. Purse එකක් දාන්න වත් බෑ. රැවටෙන්න එපා මේවගේ දේවල් වලට.,කිසිම වැඩක් නෑ original photo එකෙ තියෙන එක නෙමෙයි එවලා තියෙන්නේ. Purse එකක් දාන්න වත් බෑ. රැවටෙන්න එපා මේවගේ දේවල් වලට.,"{
(NULL, 'Product-Image Consistency', 'original photo එකෙ තියෙන එක නෙමෙයි', negative),
(NULL, 'Ease of Use', 'Purse එකක් දාන්න වත් බෑ', negative),
(NULL, 'Overall Satisfaction', 'කිසිම වැඩක් නෑ', negative),
(NULL, 'Durability', 'රැවටෙන්න එපා මේවගේ දේවල් වලට', negative)
}",Pure_Sinhala,fashion
9,Top Selling Women Messenger Bags Matching-all Leather Feeling PU Shoulder Bags Fashion Gift for Girls & Middle Aged Female,"Rs. 7,768",5,ඇත්තටම හිතුවටත් වඩා ගොඩාක් හොදයි . thank u Daraz❤️ ගෙවන ගානට ගොඩාක් වටිනවා.,ඇත්තටම හිතුවටත් වඩා ගොඩාක් හොදයි . thank u Daraz❤️ ගෙවන ගානට ගොඩාක් වටිනවා.,"{
(NULL, 'Overall Satisfaction', 'ගොඩාක් හොදයි', positive),
(ගෙවන ගානට, 'Price', ' ගොඩාක් වටිනවා', positive)
}",Pure_Sinhala,fashion
10,Top Selling Women Messenger Bags Matching-all Leather Feeling PU Shoulder Bags Fashion Gift for Girls & Middle Aged Female,"Rs. 7,768",5,godakma podi...wadak nehe...return dala thiyenne ganna enneth nehe,ගොඩක්ම පොඩි...වැඩක් නෙහෙ...රෙටුර්න් දල තියෙන්නේ ගන්න එන්නෙත් නෙහෙ,"{
(NULL, 'Overall Satisfaction', 'වැඩක් නෙහෙ', negative),
(NULL, 'Delivery', 'ගන්න එන්නෙත් නෙහෙ', negative)
}",Sinhala_in_English,fashion
11,Top Selling Women Messenger Bags Matching-all Leather Feeling PU Shoulder Bags Fashion Gift for Girls & Middle Aged Female,"Rs. 7,768",5,ෆොටෝ එකේ තියනවා වගේම යි. ලස්සනයි.,ෆොටෝ එකේ තියනවා වගේම යි. ලස්සනයි.,"{
(NULL, 'Product-Image Consistency', 'ෆොටෝ එකේ තියනවා වගේම', positive),
(NULL, 'Appearance', 'ලස්සනයි', positive)
}",Pure_Sinhala,fashion
12,Top Selling Women Messenger Bags Matching-all Leather Feeling PU Shoulder Bags Fashion Gift for Girls & Middle Aged Female,"Rs. 7,768",5,supiri ...baya nathuwa ganna💪👍,සුපිරි ...බය නැතුව ගන්න💪👍,"{
(NULL, 'Overall Satisfaction', 'සුපිරි', positive),
(NULL, 'Ease of Use', 'බය නැතුව ගන්න', positive)
}",Sinhala_in_English,fashion
13,Top Selling Women Messenger Bags Matching-all Leather Feeling PU Shoulder Bags Fashion Gift for Girls & Middle Aged Female,"Rs. 7,768",5,ගොඩක් පොඩියි,ගොඩක් පොඩියි,"{
(NULL, 'Overall Satisfaction', 'ගොඩක් පොඩියි', negative)
}",Pure_Sinhala,fashion
14,Top Selling Women Messenger Bags Matching-all Leather Feeling PU Shoulder Bags Fashion Gift for Girls & Middle Aged Female,"Rs. 7,768",4,මෙක  නම්  ගොඩක්  හොදයි\n,මෙක  නම්  ගොඩක්  හොදයි\n,"{
('මෙක', 'Overall Satisfaction', 'ගොඩක් හොදයි', positive)
}",Pure_Sinhala,fashion
